ID,RA,DEC,ZBEST
266,51.6058333333333,-28.5287222222222,0.6133800148963928
267,51.60828,-28.66706,0.066793
268,51.608624999999996,-28.719694444444443,1.8680000305175781
269,51.6090833333333,-28.2251666666667,0.23048999905586243
270,51.6102083333333,-28.1949722222222,0.21518999338150024
271,51.6105,-27.9985277777778,0.5307199954986572
272,51.61125,-27.976500000000005,0.3000999987125397
273,51.61208333333333,-27.93656944444444,0.8105999827384949
274,51.613125,-28.0198055555556,0.3213599920272827
275,51.61429166666667,-28.40294444444444,0.9144999980926514
276,51.614375,-28.1364166666667,0.6402199864387512
277,51.6160833333333,-27.8066944444444,1.0190000534057617
278,51.61842,-28.62956,0.236826
279,51.62137499999999,-28.11411111111111,0.05790000036358833
280,51.6233333333333,-28.2840555555556,0.2986299991607666
281,51.62425,-28.4733611111111,0.6515600085258484
282,51.6244583333333,-28.3675833333333,0.21601000428199768
283,51.625125,-27.6681111111111,0.9316800236701965
284,51.62770833333334,-28.616119444444443,0.4731000065803528
285,51.627875,-28.713361111111116,0.6060000061988831
286,51.62808,-28.30103,0.160704
287,51.6280833333333,-28.3008611111111,0.16032999753952026
288,51.63316666666666,-28.328055555555554,0.3357999920845032
289,51.63508,-27.9825,0.123494
290,51.6355416666667,-28.3113611111111,0.8108800053596497
291,51.63621,-26.61844,0.0819
292,51.6411666666667,-27.9543611111111,0.2986699938774109
293,51.641375,-27.63675,0.14295999705791473
294,51.6422916666667,-28.3244722222222,0.5251200199127197
295,51.6435833333333,-28.4812777777778,0.12371999770402908
296,51.6439583333333,-28.3308333333333,0.525439977645874
297,51.6490416666667,-28.2250833333333,0.29629001021385193
298,51.6495,-28.0487777777778,0.9639899730682373
299,51.65113,-28.03611,0.123271
300,51.6511666666667,-27.8656666666667,0.14087000489234924
301,51.6519583333333,-27.9296666666667,0.09159000217914581
302,51.6523333333333,-28.0293888888889,0.22208000719547272
303,51.65308,-28.67256,0.067044
304,51.6536666666667,-28.5578333333333,0.1278800070285797
305,51.65367,-26.56917,0.1447
306,51.6537083333333,-27.7136666666667,0.6123499870300293
307,51.65496,-29.43406,0.085991
308,51.6552916666667,-27.7847222222222,0.9850500226020813
309,51.65542,-27.09158,0.144246
310,51.65575,-28.21569,0.236361
311,51.6560416666667,-28.0286111111111,0.22115999460220337
312,51.6570416666667,-28.2843888888889,0.29864001274108887
313,51.65725,-28.2743888888889,0.2372100055217743
314,51.6572916666667,-28.1658611111111,0.21987000107765198
315,51.65871,-26.81108,0.0651
316,51.6595416666667,-28.4706666666667,0.23537999391555786
317,51.660125,-28.0111666666667,0.448170006275177
318,51.6605,-28.0753333333333,0.4490000009536743
319,51.66087,-27.11944,0.062693
320,51.660916666666665,-28.72036111111111,0.5615000128746033
321,51.6620416666667,-28.3163333333333,0.541700005531311
322,51.66246,-26.75819,0.1016
323,51.66258333333333,-28.58575,0.32919999957084656
324,51.66296,-28.13375,0.21715
325,51.6648333333333,-27.8355555555556,0.8152599930763245
