,srcid,iauname,sc_ra,sc_dec,sc_poserr,sc_det_ml,sc_ep_1_flux,sc_ep_1_flux_err,sc_ep_2_flux,sc_ep_2_flux_err,sc_ep_3_flux,sc_ep_3_flux_err,sc_ep_4_flux,sc_ep_4_flux_err,sc_ep_5_flux,sc_ep_5_flux_err,sc_ep_8_flux,sc_ep_8_flux_err,sc_ep_9_flux,sc_ep_9_flux_err,sc_ep_8_fmin,sc_ep_8_fmin_err,sc_ep_8_fmax,sc_ep_8_fmax_err,sc_hr1,sc_hr1_err,sc_hr2,sc_hr2_err,sc_hr3,sc_hr3_err,sc_hr4,sc_hr4_err,sc_extent,sc_ext_ml,sc_chi2prob,sc_var_flag,sc_sum_flag,mjd_first,mjd_last,sc_fvar,sc_fvarerr,n_detections,confused,webpage_url
252428,206908000000000.0,3XMM J113653.6+195534,174.2235563,19.92616919,1.76164,8.63618,3.21e-16,1.93e-16,4.519999999999999e-16,2.21e-16,4.72e-16,2.62e-16,5.679999999999999e-17,2.1800000000000002e-16,1.93e-16,1.25e-15,2.15e-15,1.36e-15,1.1099999999999999e-15,4.55e-16,2.15e-15,1.36e-15,2.15e-15,1.36e-15,0.33862,0.281369,-0.205884,0.257536,-0.9263030000000001,0.206814,0.423062,0.541619,0.0,0.0,,,0,56098.24772000001,56098.50284,,,1,f,http://xmm-catalog.irap.omp.eu/source/206907802010073/
252431,206908000000000.0,3XMM J113654.2+195950,174.22596289999998,19.99732248,1.1584,28.7296,4.509999999999999e-16,2.88e-16,1.15e-15,4.45e-16,1.7100000000000002e-15,5.58e-16,2.07e-15,1.08e-15,3e-15,3.17e-15,9.99e-15,3.55e-15,6e-15,1.21e-15,9.99e-15,3.55e-15,9.99e-15,3.55e-15,0.275866,0.245623,0.0964883,0.202195,-0.469621,0.222462,-0.657415,0.334088,0.0,0.0,,,1,56098.24772000001,56098.50284,,,1,f,http://xmm-catalog.irap.omp.eu/source/206907802010053/
253133,200670000000000.0,3XMM J113914.8+170837,174.81194680000002,17.14365159,0.34642399999999995,9914.28,1.0699999999999999e-13,4.8100000000000005e-15,1.74e-13,6.33e-15,1.87e-13,6.82e-15,2.7300000000000005e-13,1.39e-14,4.95e-13,4.05e-14,1.24e-12,4.42e-14,6.519999999999999e-13,1.5e-14,1.24e-12,4.42e-14,1.24e-12,4.42e-14,0.19647,0.027659800000000002,0.00216993,0.0255408,-0.326146,0.028030000000000003,-0.408059,0.039980800000000004,0.0,0.0,0.115193874,f,1,52438.85171,52438.969769999996,0.111322805,0.056319814,1,f,http://xmm-catalog.irap.omp.eu/source/200669502010001/
253321,202047000000000.0,3XMM J113942.5+315433,174.9271688,31.90939206,0.346414,11016.9,1.22e-14,2.54e-15,3.87e-14,4.69e-15,2.52e-13,1.19e-14,2.08e-12,5.75e-14,5.5499999999999996e-12,1.92e-13,7.93e-12,2.02e-13,1.38e-12,3.26e-14,7.93e-12,2.02e-13,7.93e-12,2.02e-13,0.4986,0.0887428,0.710066,0.0319689,0.479905,0.0209887,-0.206825,0.021156900000000003,0.0,0.0,0.144478261,f,0,53149.69209,53149.94814,0.10156624800000001,0.055650785999999994,1,f,http://xmm-catalog.irap.omp.eu/source/202046503010001/
253332,202047000000000.0,3XMM J113944.1+315548,174.9341437,31.9302096,1.60229,48.8185,1.72e-15,1.3900000000000001e-15,7.27e-15,2.38e-15,4.76e-15,2.23e-15,6.829999999999999e-15,5.979999999999999e-15,1e-14,1.93e-14,4.35e-14,2.12e-14,3.3e-14,6.72e-15,4.35e-14,2.12e-14,4.35e-14,2.12e-14,0.6086199999999999,0.22999,0.280204,0.165184,-0.720445,0.153238,-0.442878,0.45474499999999995,0.0,0.0,,,0,53149.69209,53149.94814,,,1,f,http://xmm-catalog.irap.omp.eu/source/202046503010005/
254086,206554000000000.0,3XMM J114223.7+101551,175.5989706,10.26429224,1.50797,64.744,8.52e-15,2.5e-15,1.61e-14,3.31e-15,6.45e-15,2.21e-15,7.25e-15,4.45e-15,7.28e-16,8.64e-15,3.81e-14,1.12e-14,3.37e-14,6e-15,3.81e-14,1.12e-14,3.81e-14,1.12e-14,0.339507,0.145784,-0.419444,0.160173,-0.342819,0.275237,-0.46137,0.403592,0.0,0.0,,,1,55348.90524,55349.04452999999,,,1,f,http://xmm-catalog.irap.omp.eu/source/206553801010010/
254087,200052000000000.0,3XMM J114224.3+200711,175.6013552,20.11978052,2.62689,42.9665,1.16e-15,5.81e-16,4.25e-15,9.050000000000001e-16,2.35e-15,8.32e-16,1.01e-14,2.91e-15,4.4799999999999994e-15,1.06e-14,2.39e-14,1.15e-14,1.57e-14,2.36e-15,2.39e-14,1.15e-14,2.39e-14,1.15e-14,0.595195,0.158707,-0.338972,0.162683,0.145823,0.208087,-0.6714829999999999,0.347256,0.0,0.0,,,0,52235.28273,52235.61257,,,1,f,http://xmm-catalog.irap.omp.eu/source/200052101010045/
254279,200052000000000.0,3XMM J114313.4+200016,175.806071,20.0045706,0.8772260000000001,445.159,2.75e-15,4.0099999999999996e-16,9.740000000000001e-15,6.809999999999999e-16,7.68e-15,6.86e-16,1.05e-14,1.41e-15,2.2899999999999997e-15,2.57e-15,3.52e-14,3.26e-15,3.07e-14,1.5699999999999999e-15,2.72e-14,6.21e-15,3.83e-14,3.84e-15,0.54005,0.054077599999999997,-0.153334,0.0529467,-0.37796,0.0673032,-0.8808790000000001,0.100833,0.0,0.0,0.27130851100000003,f,3,52235.28273,54978.32649,0.158321768,0.173633307,2,f,http://xmm-catalog.irap.omp.eu/source/200052101010008/
254384,200617000000000.0,3XMM J114356.3+195340,175.98493100000002,19.89453256,0.42848400000000003,543.328,3.35e-15,5.24e-16,2.33e-14,1.14e-15,1.01e-14,8.89e-16,3.11e-15,1.0699999999999998e-15,1.1e-14,4.93e-15,5.24e-14,5.3200000000000005e-15,4.87e-14,2.1399999999999997e-15,4.66e-14,1.44e-14,5.95e-14,1.39e-14,0.749468,0.034958800000000005,-0.400213,0.0418413,-0.774762,0.06262519999999999,-0.253271,0.22415300000000002,0.0,0.0,0.37360000600000004,f,3,52055.88108,54978.32649,0.142475098,0.306298584,3,f,http://xmm-catalog.irap.omp.eu/source/200617401010017/
254389,200052000000000.0,3XMM J114359.0+200437,175.9959392,20.07718276,1.21735,31.9589,1.14e-15,3.35e-16,2.27e-15,4.45e-16,3e-15,5.92e-16,3.7299999999999995e-15,1.18e-15,1.05e-14,6.16e-15,2.15e-14,6.35e-15,9.96e-15,1.22e-15,1.4e-14,8.1e-15,3.35e-14,1.02e-14,0.349591,0.14146,0.10661400000000001,0.126861,-0.443655,0.13831300000000002,-0.0936693,0.27127199999999996,0.0,0.0,,,0,52235.28273,54978.32649,,,2,f,http://xmm-catalog.irap.omp.eu/source/200052101010058/
254467,206022000000000.0,3XMM J114432.0+200625,176.1333405,20.10708276,1.5460200000000002,25.5933,1.49e-15,7.65e-16,5.86e-15,1.3e-15,3.2e-15,1.18e-15,2.74e-15,2.87e-15,3.76e-15,1.48e-14,2.55e-14,1.61e-14,1.45e-14,2.89e-15,2.55e-14,1.61e-14,2.55e-14,1.61e-14,0.667287,0.155194,-0.288984,0.185778,-0.32419899999999996,0.33276300000000003,-0.20822800000000002,0.529395,0.0,0.0,,,0,54978.08647,54978.32649,,,1,f,http://xmm-catalog.irap.omp.eu/source/206022001010037/
