,srcid,iauname,sc_ra,sc_dec,sc_poserr,sc_det_ml,sc_ep_1_flux,sc_ep_1_flux_err,sc_ep_2_flux,sc_ep_2_flux_err,sc_ep_3_flux,sc_ep_3_flux_err,sc_ep_4_flux,sc_ep_4_flux_err,sc_ep_5_flux,sc_ep_5_flux_err,sc_ep_8_flux,sc_ep_8_flux_err,sc_ep_9_flux,sc_ep_9_flux_err,sc_ep_8_fmin,sc_ep_8_fmin_err,sc_ep_8_fmax,sc_ep_8_fmax_err,sc_hr1,sc_hr1_err,sc_hr2,sc_hr2_err,sc_hr3,sc_hr3_err,sc_hr4,sc_hr4_err,sc_extent,sc_ext_ml,sc_chi2prob,sc_var_flag,sc_sum_flag,mjd_first,mjd_last,sc_fvar,sc_fvarerr,n_detections,confused,webpage_url
218414,207629202010001,3XMM J100207.0+030327,150.52932066783,3.0576958947371,0.25531,8229.09,1.2337700000000002e-14,9.06318e-16,1.85822e-14,1.1428e-15,4.75485e-14,1.8738199999999997e-15,2.29192e-13,6.87719e-15,6.29281e-13,2.42864e-14,9.37719e-13,2.53828e-14,2.04226e-13,4.55211e-15,9.37719e-13,2.53828e-14,9.37719e-13,2.53828e-14,0.148805,0.046025699999999996,0.39453499999999997,0.030750599999999996,0.260236,0.023074900000000002,-0.203441,0.023317400000000002,0.0,0.0,0.0164388585835695,f,0,57147.6939351852,57147.9606134259,0.16038787364959697,0.0458421185612679,1,f,http://xmm-catalog.irap.omp.eu/source/207629202010001/
223774,202027301010006,3XMM J102220.1+213412,155.58383633514,21.570241436464,0.916998,1853.27,5.77185e-15,6.56734e-16,2.54447e-14,1.14643e-15,2.3915900000000004e-14,1.2183199999999998e-15,4.4537e-14,2.89468e-15,1.1347400000000001e-13,1.06919e-14,2.1399899999999998e-13,1.1256399999999999e-14,9.269739999999999e-14,2.79321e-15,2.1399899999999998e-13,1.1256399999999999e-14,2.1399899999999998e-13,1.1256399999999999e-14,0.6026560000000001,0.0380768,-0.10809400000000001,0.0333477,-0.215088,0.039305400000000004,-0.211414,0.0537836,13.2572,513.068,0.26173749566078197,f,0,53155.4637962963,53155.892222222195,0.144263118505478,0.132394358515739,1,f,http://xmm-catalog.irap.omp.eu/source/202027301010006/
236212,206934304010007,3XMM J105225.9+103250,163.10832445528,10.547450127727,0.740214,621.543,4.31227e-15,5.24401e-16,1.2240399999999999e-14,8.492160000000001e-16,3.99793e-15,5.847819999999999e-16,1.29479e-15,7.75301e-16,4.25943e-15,3.36111e-15,2.7096699999999997e-14,3.72565e-15,2.4543700000000002e-14,1.58095e-15,2.7096699999999997e-14,3.72565e-15,2.7096699999999997e-14,3.72565e-15,0.48276800000000003,0.0533929,-0.570267,0.05427959999999999,-0.756438,0.10220499999999999,-0.41275600000000007,0.277452,0.0,0.0,,,1,56252.7818865741,56253.071712963,,,1,f,http://xmm-catalog.irap.omp.eu/source/206934304010007/
237488,202005302010033,3XMM J105650.9+065420,164.212184217131,6.905714164554629,0.534621,112.95700000000001,1.18819e-15,2.06791e-16,4.63079e-15,3.56802e-16,4.93205e-15,4.1780099999999997e-16,4.00174e-15,7.49211e-16,4.76516e-15,3.20411e-15,2.16227e-14,3.4392099999999997e-15,1.73548e-14,9.07562e-16,1.49916e-14,5.6206400000000005e-15,5.88809e-14,1.91739e-14,0.571168,0.0582866,0.0592528,0.0506459,-0.551412,0.057957600000000005,-0.397154,0.16126,8.242180000000001,14.597000000000001,,,0,53144.9466203704,53879.0980439815,,,6,f,http://xmm-catalog.irap.omp.eu/source/202005302010033/
245513,202019401010074,3XMM J111845.4+212826,169.68945418564,21.4739906207524,0.754548,24.3694,4.0479199999999995e-16,2.05016e-16,6.564610000000001e-16,1.8984799999999998e-16,1.93782e-15,3.2432599999999997e-16,1.28451e-15,5.215759999999999e-16,7.9812e-15,5.11876e-15,1.3818399999999999e-14,5.18984e-15,5.6778999999999994e-15,6.6859e-16,6.1293700000000004e-15,8.31852e-15,1.89581e-14,9.038200000000001e-15,0.335426,0.192237,0.481066,0.10556900000000001,-0.49081099999999994,0.124546,-0.10326400000000001,0.29273000000000005,0.0,0.0,,,0,53356.112997685195,54821.2231365741,,,3,f,http://xmm-catalog.irap.omp.eu/source/202019401010074/
249355,207225703010088,3XMM J112844.7+171337,172.18627100220502,17.2270438224594,2.2140299999999997,8.09065,1.28121e-16,1.56561e-16,2.26878e-16,1.92771e-16,1.13479e-16,1.4066100000000002e-16,3.08797e-15,1.0922e-15,1.1402e-15,2.30343e-15,6.5283199999999996e-15,2.88961e-15,2.99347e-15,7.708660000000001e-16,5.1261e-15,3.13293e-15,1.45179e-14,7.47836e-15,0.911784,0.23109899999999997,0.139693,0.249833,0.697036,0.136124,0.169823,0.199554,0.0,0.0,,,0,56449.2249884259,56454.0372916667,,,2,f,http://xmm-catalog.irap.omp.eu/source/207225703010088/
251722,207411402010044,3XMM J113536.3+155831,173.90154244405701,15.9754505797708,0.493354,110.455,5.06935e-16,1.19632e-16,2.04294e-15,2.1540699999999998e-16,3.45863e-15,2.98874e-16,2.5479700000000003e-15,5.01461e-16,4.05225e-15,2.43417e-15,1.61056e-14,2.7033e-15,1.0756299999999998e-14,6.26556e-16,1.25806e-14,4.06792e-15,3.0029900000000005e-14,8.50872e-15,0.5350199999999999,0.07408150000000001,0.231775,0.0576355,-0.615788,0.0559379,0.0897757,0.127729,0.0,0.0,,,0,56802.541053240704,56836.740775463,,,5,f,http://xmm-catalog.irap.omp.eu/source/207411402010044/
252230,206907802010056,3XMM J113628.2+194841,174.11756702536,19.811482152582,1.6544900000000002,25.7916,8.30223e-16,5.43963e-16,3.7250700000000004e-15,9.885289999999999e-16,2.81678e-15,1.048e-15,1.9215500000000001e-16,8.125069999999999e-16,2.96007e-14,1.95565e-14,3.9656e-14,1.97439e-14,9.1288e-15,2.1453099999999997e-15,3.9656e-14,1.97439e-14,3.9656e-14,1.97439e-14,0.5868899999999999,0.21439299999999997,-0.260027,0.204599,-0.911126,0.198219,0.979482,0.134189,0.0,0.0,,,0,56098.247719907406,56098.5028356481,,,1,f,http://xmm-catalog.irap.omp.eu/source/206907802010056/
252428,206907802010073,3XMM J113653.6+195534,174.22355634307,19.926169187288,1.76164,8.63618,3.21368e-16,1.9304700000000002e-16,4.51846e-16,2.2133099999999998e-16,4.724580000000001e-16,2.62492e-16,5.67631e-17,2.1825000000000002e-16,1.92967e-16,1.24532e-15,2.14845e-15,1.36408e-15,1.10803e-15,4.55207e-16,2.14845e-15,1.36408e-15,2.14845e-15,1.36408e-15,0.33862,0.281369,-0.205884,0.257536,-0.9263030000000001,0.206814,0.423062,0.541619,0.0,0.0,,,0,56098.247719907406,56098.5028356481,,,1,f,http://xmm-catalog.irap.omp.eu/source/206907802010073/
253133,200669502010001,3XMM J113914.8+170837,174.81194678716,17.143651593953,0.34642399999999995,9914.28,1.06901e-13,4.8122e-15,1.74073e-13,6.32548e-15,1.8706600000000002e-13,6.81702e-15,2.72685e-13,1.39482e-14,4.94795e-13,4.0502e-14,1.24389e-12,4.4184500000000005e-14,6.5245e-13,1.4961099999999998e-14,1.24389e-12,4.4184500000000005e-14,1.24389e-12,4.4184500000000005e-14,0.19647,0.027659800000000002,0.00216993,0.0255408,-0.326146,0.028030000000000003,-0.408059,0.039980800000000004,0.0,0.0,0.115193873643875,f,1,52438.851712963,52438.969768518495,0.111322805285454,0.0563198141753674,1,f,http://xmm-catalog.irap.omp.eu/source/200669502010001/
