name,oii_3726_flux,oii_3726_flux_err,oii_3729_flux,oii_3729_flux_err,neiii_3869_flux,neiii_3869_flux_err,h_delta_flux,h_delta_flux_err,h_gamma_flux,h_gamma_flux_err,oiii_4363_flux,oiii_4363_flux_err,h_beta_flux,h_beta_flux_err,oiii_4959_flux,oiii_4959_flux_err,oiii_5007_flux,oiii_5007_flux_err,hei_5876_flux,hei_5876_flux_err,oi_6300_flux,oi_6300_flux_err,nii_6548_flux,nii_6548_flux_err,h_alpha_flux,h_alpha_flux_err,nii_6584_flux,nii_6584_flux_err,sii_6717_flux,sii_6717_flux_err,sii_6731_flux,sii_6731_flux_err,ariii7135_flux,ariii7135_flux_err,oii_flux,oii_flux_err,oiii_flux,oiii_flux_err,Flux_HeII_3203,Flux_HeII_3203_Err,Flux_OII_3726,Flux_OII_3726_Err,Flux_OII_3728,Flux_OII_3728_Err,Flux_NeIII_3868,Flux_NeIII_3868_Err,Flux_Hd_4101,Flux_Hd_4101_Err,Flux_Hg_4340,Flux_Hg_4340_Err,Flux_OIII_4363,Flux_OIII_4363_Err,Flux_HeII_4685,Flux_HeII_4685_Err,Flux_ArIV_4711,Flux_ArIV_4711_Err,Flux_Hb_4861,Flux_Hb_4861_Err,Flux_OIII_4958,Flux_OIII_4958_Err,Flux_OIII_5006,Flux_OIII_5006_Err,Flux_HeI_5875,Flux_HeI_5875_Err,Flux_OI_6300,Flux_OI_6300_Err,Flux_NII_6547,Flux_NII_6547_Err,Flux_Ha_6562,Flux_Ha_6562_Err,Flux_NII_6583,Flux_NII_6583_Err,Flux_SII_6716,Flux_SII_6716_Err,Flux_SII_6730,Flux_SII_6730_Err
1.23766E+18,36.93087,5.086176,31.40829,5.010577,12.97848,3.40708,9.04899,2.879726,23.58586,2.624165,-3.606091,2.583868,55.38958,2.880958,54.60785,3.181643,164.7366,3.971179,10.18269,2.138729,19.01937,2.532418,87.23441,1.360557,366.144,4.793656,263.1191,4.103749,59.98962,2.845151,51.07059,2.950494,14.29771,3.114775,73.39894,105.142,201.3224,4.473923,0,0,523.3204,136.5114,23.83826,56.90663,102.9021,44.65771,59.55506,27.50819,163.7406,28.17953,0,0,6.367481,22.56831,0,0,276.5126,26.62266,301.8418,15.15541,862.4052,43.30117,40.38495,15.17129,54.4781,12.58063,287.3529,10.37609,1168.201,47.44681,845.1556,30.51792,176.2649,16.8906,147.3282,14.75524
1.23765E+18,20.64933,5.073516,15.82003,4.971697,6.197411,3.092516,2.766318,2.233277,-0.2407141,1.962238,2.271529,2.825061,7.879467,1.949406,1.39208,2.707508,19.33934,2.997839,-1.670428,1.521019,0.8638117,2.142933,6.74246,0.9321746,57.4948,16.4373,20.33681,2.811651,12.30446,2.439301,9.71642,2.533576,-0.248548,4.032167,39.41055,34.17215,24.05184,4.091497,0,0,22.68817,8.006002,27.94791,9.552276,8.63485,6.349524,0,688.2418,0,0,1.728705,16.7136,0,0,0,0,0,0,1.93338,2.736563,5.523942,7.818752,3.0448,6.306083,1.260237,10.83856,5.739048,1.493088,5.440988,7.996871,16.87955,4.391436,9.72196,4.637323,8.178774,4.618747
1.23766E+18,21.4426,19.03992,-14.71409,18.9014,-9.496686,7.120162,35.60641,7.112403,38.29153,7.059858,-21.47341,7.070879,58.30462,7.695485,-14.3228,7.485211,35.7077,7.405972,-28.21169,8.121454,12.16605,8.393049,31.17221,4.027054,195.0276,13.55077,94.02258,12.14651,37.92524,9.560802,4.0625,9.397242,4.156068,9.091247,-2.336575,6.672345,43.91017,10.56108,0,0,554.8494,70.24488,1.176504,436.8285,0,0,98.42853,34.69597,176.2213,37.37473,3.692935,17.57618,0,0,134.775,0,358.5744,46.92375,10.35581,7.717048,29.58802,22.04871,0,0,0,0,60.46962,11.51772,357.2305,38.68459,177.8518,33.87564,27.57659,20.45112,21.34748,32.3659
1.23765E+18,39.14008,8.659976,12.84876,8.164722,4.22674,2.932694,3.77676,3.156714,5.482203,3.115238,-7.622951,3.360176,18.41285,3.651439,1.06944,3.775374,27.24205,3.833154,-4.242025,3.48049,2.615812,3.782346,16.96302,1.648831,39.83397,4.610567,51.16438,4.973249,22.29938,4.271295,1.791866,4.638984,-12.04184,4.542129,51.84185,131.3849,33.52333,5.353992,0,0,55.42376,37.13707,54.73308,29.97766,5.307593,7.563297,0,0,2.849521,10.46389,0,0,0,0,0,0,33.79663,10.16144,13.20228,4.165705,37.72079,11.90201,0,0,7.905382,10.19406,21.64329,3.99263,45.15998,9.878405,63.65675,11.74303,18.10545,6.413345,18.08638,13.94726
1.23766E+18,68.51688,11.08112,8.722346,10.5526,6.756578,5.633403,17.61326,4.509805,14.68131,3.816898,-0.7204626,4.01862,31.54426,3.698302,23.41632,3.879707,48.49635,4.203731,5.004812,4.023948,12.74268,3.62658,48.05818,1.616683,175.2779,5.170436,144.9546,4.876284,55.44455,4.332263,41.07418,4.180517,2.648573,4.272008,73.48559,14.75957,46.42373,4.322419,0,0,465.0596,105.6342,460.7993,360.2642,0,0,146.6156,45.80976,180.669,47.10902,0,0,87.70373,33.71781,29.55102,21.0479,208.9689,29.81108,68.34261,8.227953,195.2646,23.50844,0,0,27.02942,14.63294,144.6037,6.950168,501.4675,22.97119,425.3049,20.44167,141.119,22.83731,85.525,17.9648
1.23766E+18,-1.27E+07,2.18E+07,0,-0.7541237,9.117159,3.497376,10.67512,3.090176,14.91865,2.686566,-0.01622375,2.928003,37.41022,2.958493,3.358981,2.922501,12.12013,2.999435,4.492221,2.53911,10.09254,2.581005,48.30867,1.495899,211.05,4.1737,145.7101,4.511971,36.51472,3.103542,38.16441,3.542823,-6.294986,3.415076,-313.0035,940768.2,9.969304,2.991323,0,0,3.73E+29,0,-9999,0,10.85618,6.970876,7.987525,7.525469,10.76663,5.344676,0,0,0,0,0,0,32.69731,5.691294,3.515944,2.35811,10.04555,6.737457,2.674277,16.42838,7.507582,4.836098,43.74164,2.444125,176.9495,7.447484,128.6519,7.188602,31.51639,5.624187,36.48564,6.130881
1.23766E+18,67.23604,12.63886,64.57952,12.3741,24.53802,6.074988,15.37922,5.74057,17.96432,5.677907,3.614921,6.075442,34.11123,6.177382,41.30267,6.523485,126.5316,7.027907,-2.267408,7.253429,27.58544,7.348434,91.46187,3.242242,152.4001,9.74843,275.8701,9.779342,90.11151,8.26757,58.70724,8.148924,-2.212651,7.832308,122.9144,42.99888,127.2292,7.823649,0,0,300.6589,638.2315,487.9926,897.6749,49.31178,22.0592,18.99797,21.99053,79.3466,42.88005,23.08881,19.64826,0,0,0,0,98.70475,32.55897,106.3234,10.65834,303.7811,30.4524,0,0,62.96412,25.93994,233.2323,12.16611,382.9824,37.36621,685.9772,35.78267,209.1465,40.61435,123.7497,34.03992
1.23765E+18,7.949238,2.787067,17.90097,2.960582,0.6272356,2.307047,10.20041,2.039207,13.62012,2.184245,-1.666323,2.181301,17.17926,4.524844,6.051519,2.699264,20.35999,2.321546,2.622212,1.389141,5.678045,1.594758,17.86137,0.7082404,117.8768,2.86459,53.87403,2.136214,13.62847,1.953949,7.83576,3.092876,1.880708,2.631511,23.2169,10.82249,19.08133,2.535805,0,0,15.85635,6.501799,22.65545,9.149567,0,0,11.26774,3.61681,13.45984,3.578983,0,0,0.2968867,42.35024,0,0,0,0,7.954673,1.390692,22.72764,3.973407,2.256189,4.455112,6.358022,3.713726,19.92591,1.111089,126.3437,5.36256,58.60561,3.267908,14.76185,3.357543,11.44164,7.518564
1.23766E+18,10.01871,3.656811,12.59646,3.59335,1.549666,2.654515,3.037753,2.249103,6.154353,2.07755,1.58511,2.100295,17.17082,2.103837,2.896576,2.121897,11.56291,2.078021,1.885736,1.524951,4.842921,1.758271,12.2376,0.6776948,76.48819,2.410692,36.91144,2.044082,7.794839,3.163426,9.594538,1.761917,-0.4305073,1.893744,21.72119,4.712276,15.89819,3.269149,0,0,45.75956,25.15552,40.61739,22.31753,0.5758262,102.2164,9.650508,8.196777,18.62435,6.741801,3.148127,11.22073,0,0,0,0,41.96093,7.612523,10.64293,2.982602,30.40837,8.521721,12.08881,7.510736,7.722101,5.125628,22.9206,2.128127,139.1642,8.049651,67.41354,6.259197,18.52884,8.333939,11.43772,4.857221
1.23766E+18,25.99026,8.574363,100.9022,8.957688,17.36346,4.413629,21.74683,3.877504,47.64659,4.014389,-2.225929,3.857662,132.2897,4.594181,35.19782,4.261778,113.4855,4.700197,22.89887,3.877933,35.15101,3.833727,207.6132,2.521967,1023.41,10.03953,626.2094,7.606827,115.37,5.611343,103.4492,4.876872,13.35428,4.370417,126.2941,154.0052,132.3091,6.053008,0,0,1033.3,269.2714,658.9065,66.96195,75.12704,30.08997,144.0227,33.42689,251.2884,32.48674,0,0,0,0,0,0,582.962,38.40584,208.1067,13.51632,594.5906,38.61807,80.14555,20.02035,104.6207,22.23043,661.9476,15.46301,3049.639,82.36172,1946.905,45.47944,330.7831,26.9261,267.4785,24.46102
