,name,ra ,dec
519,1237660000000000000.00,216.47954,-1.471425
521,1237650000000000000.00,217.78785,-0.830538
523,1237650000000000000.00,218.66665,3.638827
525,1237650000000000000.00,218.71095,3.645163
527,1237650000000000000.00,219.86992,2.768737
529,1237650000000000000.00,220.12253,3.432736
531,1237660000000000000.00,220.28623,35.333008
533,1237650000000000000.00,220.51099,-0.735806
535,1237650000000000000.00,221.01455,3.80E-05
537,1237670000000000000.00,221.51497,29.396924
539,1237660000000000000.00,221.80316,40.795826
541,1237670000000000000.00,222.63564,27.215872
543,1237670000000000000.00,223.41596,18.699597
545,1237670000000000000.00,223.43758,18.568366
547,1237660000000000000.00,226.9766,1.13799
549,1237660000000000000.00,227.04123,1.166842
551,1237660000000000000.00,228.93694,6.958688
553,1237660000000000000.00,229.22464,6.939476
555,1237660000000000000.00,229.29396,7.209099
557,1237660000000000000.00,230.71995,8.744934
559,1237660000000000000.00,231.71998,36.017008
561,1237660000000000000.00,231.91453,36.030035
563,1237650000000000000.00,236.50428,2.310873
565,1237660000000000000.00,239.33043,27.275386
567,1237660000000000000.00,239.48653,27.130394
569,1237660000000000000.00,239.66667,26.977661
571,1237660000000000000.00,239.68734,27.136718
573,1237670000000000000.00,244.24436,12.816317
575,1237670000000000000.00,244.40101,12.484228
577,1237660000000000000.00,244.58024,41.133233
579,1237670000000000000.00,244.84025,41.08988
581,1237660000000000000.00,246.67706,39.145225
583,1237660000000000000.00,247.63606,39.384201
585,1237660000000000000.00,247.6887,39.195262
587,1237660000000000000.00,247.77882,39.429731
589,1237660000000000000.00,247.90798,41.493643
591,1237660000000000000.00,248.19061,41.380022
593,1237650000000000000.00,248.51247,47.273824
595,1237660000000000000.00,249.66778,32.545582
597,1237660000000000000.00,249.71696,32.55852
599,1237660000000000000.00,255.68033,34.080416
601,1237650000000000000.00,257.85401,58.644264
603,1237670000000000000.00,257.8665,64.236693
605,1237650000000000000.00,258.05515,58.594588
607,1237670000000000000.00,258.09657,64.032519
609,1237650000000000000.00,258.82738,57.658783
611,1237650000000000000.00,259.73746,57.850637
613,1237650000000000000.00,260.12081,58.797118
615,1237660000000000000.00,260.29127,26.58191
